timestamp,temperature,humidity,pressure,rssi,acceleration x,acceleration y,acceleration z,voltage,movement counter,measurement sequence number
2020-07-07T12:30:00+0300,19.22,60.3,1002.58,-44,-0.404,-0.9,0.36,2.749,82,28047
2020-07-07T12:30:06+0300,19.25,60.27,1002.58,-46,-0.296,-0.932,0.256,2.749,83,29327
2020-07-07T12:30:15+0300,19.29,60.22,1002.58,-36,0.512,-0.832,0.516,2.743,92,31119
2020-07-07T12:30:21+0300,19.36,60.28,1002.58,-66,0.832,-0.588,0.092,2.743,96,32143
2020-07-07T12:30:26+0300,19.42,60.46,1002.64,-49,0.276,-0.3,0.876,2.743,108,33167
2020-07-07T12:30:38+0300,19.53,60.27,1002.48,-75,0.644,-0.784,-0.248,2.743,113,35471
2020-07-07T12:30:45+0300,19.58,60.17,1002.06,-74,0.64,-0.78,-0.244,2.743,113,37007
2020-07-07T12:30:51+0300,19.62,60.14,1001.91,-73,0.636,-0.78,-0.236,2.743,113,38287
2020-07-07T12:30:58+0300,19.65,60.08,1001.82,-80,0.632,-0.78,-0.24,2.743,113,39567
2020-07-07T12:31:03+0300,19.68,60.02,1001.8,-79,0.648,-0.78,-0.236,2.743,113,40591
2020-07-07T12:31:10+0300,19.71,59.98,1001.83,-70,0.644,-0.784,-0.24,2.749,113,41871
2020-07-07T12:31:16+0300,19.73,59.95,1001.88,-62,0.636,-0.776,-0.244,2.749,113,43151
2020-07-07T12:31:21+0300,19.75,59.91,1001.93,-69,0.64,-0.78,-0.248,2.743,113,44175
2020-07-07T12:31:30+0300,19.78,59.86,1002.02,-66,0.644,-0.78,-0.24,2.749,113,45967
2020-07-07T12:31:39+0300,19.81,59.8,1002.1,-65,0.644,-0.784,-0.248,2.749,113,47759
2020-07-07T12:31:50+0300,19.85,59.7,1002.22,-73,0.64,-0.78,-0.24,2.761,113,50319
2020-07-07T12:31:56+0300,19.87,59.65,1002.26,-69,0.644,-0.772,-0.244,2.749,113,51343
2020-07-07T12:32:02+0300,19.89,59.58,1002.29,-79,0.64,-0.776,-0.244,2.749,113,52623
2020-07-07T12:32:15+0300,19.92,59.43,1002.33,-77,0.644,-0.784,-0.248,2.755,113,55183
2020-07-07T12:32:22+0300,19.93,59.39,1002.34,-74,0.636,-0.784,-0.24,2.755,113,56463
2020-07-07T12:32:35+0300,19.96,59.26,1002.37,-82,0.64,-0.776,-0.252,2.749,113,59279
2020-07-07T12:32:42+0300,19.97,59.21,1002.4,-78,0.64,-0.776,-0.248,2.749,113,60559
2020-07-07T12:32:48+0300,19.98,59.19,1002.42,-74,0.644,-0.776,-0.244,2.749,113,61583
2020-07-07T12:32:53+0300,20.0,59.14,1002.44,-77,0.636,-0.784,-0.24,2.749,113,62863
2020-07-07T12:32:59+0300,20.0,59.1,1002.46,-71,0.636,-0.788,-0.244,2.749,113,63887
2020-07-07T12:33:07+0300,20.02,59.04,1002.46,-58,0.648,-0.78,-0.24,2.731,113,65423
2020-07-07T12:33:13+0300,20.03,58.96,1002.46,-71,0.64,-0.784,-0.24,2.761,113,1168
2020-07-07T12:33:18+0300,20.04,58.91,1002.44,-62,0.632,-0.78,-0.256,2.761,113,2192
2020-07-07T12:33:25+0300,20.05,58.82,1002.44,-65,0.64,-0.772,-0.244,2.755,113,3472
2020-07-07T12:33:34+0300,20.06,58.74,1002.44,-64,0.64,-0.784,-0.24,2.755,113,5264
2020-07-07T12:33:39+0300,20.07,58.71,1002.45,-66,0.64,-0.784,-0.244,2.749,113,6544
2020-07-07T12:33:45+0300,20.08,58.7,1002.46,-61,0.648,-0.78,-0.252,2.749,113,7568
2020-07-07T12:33:54+0300,20.09,58.65,1002.47,-62,0.64,-0.776,-0.236,2.749,113,9360
2020-07-07T12:34:01+0300,20.09,58.61,1002.49,-64,0.64,-0.776,-0.244,2.761,113,10640
